id,category
82924,Web/Tech
82931,Current Affairs
82931,Philosophy
82931,Political Science
82932,Medicine
82934,Current Affairs
82934,Economics
82934,Medicine
82937,Books
82937,Economics
82937,Political Science
82937,Travel
82939,Economics
82939,Medicine
82941,Current Affairs
82941,Law
82941,Political Science
82942,Economics
82942,Education
82942,Political Science
82946,Current Affairs
82947,Economics
82947,Web/Tech
82951,Books
82951,History
82951,Law
82951,Philosophy
82951,Political Science
82953,History
82959,Current Affairs
82959,Economics
82959,Law
82959,Medicine
82959,Political Science
82963,Current Affairs
82963,Law
82964,Current Affairs
82964,Economics
82966,Books
82966,Education
82966,Science
82968,Current Affairs
82968,Economics
82969,Data Source
82969,Economics
82969,Education
82971,Food and Drink
82971,Law
82972,Medicine
82972,Web/Tech
82974,Science
82977,Current Affairs
82977,Political Science
82980,Economics
82980,Education
82980,Science
82982,Economics
82982,Education
82982,Philosophy
82983,Books
82983,History
82983,Law
82983,Religion
82986,Current Affairs
82986,Education
82986,Philosophy
82986,Political Science
82988,Medicine
82990,Books
82990,Current Affairs
82990,Economics
82992,Medicine
82992,Travel
82993,Economics
82993,Political Science
82996,Economics
82999,Current Affairs
82999,Medicine
83002,Current Affairs
83002,Economics
83003,Current Affairs
83003,Political Science
83004,Current Affairs
83004,Political Science
83005,Current Affairs
83005,Data Source
83005,Economics
83007,Data Source
83007,Economics
83008,Weblogs
83010,Law
83010,Medicine
83012,Music
83013,Film
83013,Television
83014,Economics
83014,Law
83014,Science
83018,Education
83018,Philosophy
83018,The Arts
83018,Web/Tech
83020,Current Affairs
83020,History
83020,Political Science
83021,Current Affairs
83021,Law
83023,Books
83023,Current Affairs
83023,Economics
83023,Education
83023,Film
83023,History
83023,Music
83023,Sports
83023,Television
83023,The Arts
83024,Economics
83024,Law
83026,Current Affairs
83027,Current Affairs
83030,Current Affairs
83030,History
83030,Political Science
83031,Current Affairs
83031,Games
83032,Current Affairs
83032,Law
83033,Economics
83033,Education
83035,Current Affairs
83036,Data Source
83036,Economics
83036,Education
83037,Data Source
83037,Food and Drink
83037,Law
83040,Education
83040,Law
83043,Books
83043,Economics
83043,History
83045,Current Affairs
83045,Political Science
83047,Books
83047,Food and Drink
83047,History
83051,Books
83051,History
83053,Current Affairs
83053,Philosophy
83053,Political Science
83055,Current Affairs
83065,Current Affairs
83065,Games
83065,Political Science
83068,Current Affairs
83068,History
83068,Music
83068,The Arts
83071,Weblogs
83072,Data Source
83072,History
83072,Political Science
83073,History
83077,Data Source
83077,Law
83078,Economics
83079,Books
83082,Games
83083,Current Affairs
83083,Economics
83083,Education
83083,Medicine
83083,Music
83083,Philosophy
83083,Science
83083,The Arts
83083,Web/Tech
83089,Current Affairs
83089,Web/Tech
83090,Books
83090,Economics
83090,Education
83090,Medicine
83090,Music
83090,Philosophy
83090,Political Science
83090,Science
83090,The Arts
83090,Travel
83090,Web/Tech
83090,Weblogs
83093,Current Affairs
83093,Law
83094,Current Affairs
83094,History
83098,Current Affairs
83098,Games
83098,Political Science
83100,Film
83103,Economics
83103,Political Science
83104,Current Affairs
83104,Film
83104,The Arts
83105,Data Source
83106,Law
83109,Current Affairs
83109,Web/Tech
83110,Current Affairs
83110,Political Science
83110,Science
83112,Economics
83115,Music
83115,The Arts
83117,Current Affairs
83119,Current Affairs
83119,Economics
83120,Philosophy
83120,Web/Tech
83121,Law
83123,Books
83123,Data Source
83123,History
83128,Food and Drink
83128,Web/Tech
83129,Current Affairs
83129,Economics
83129,Education
83129,Food and Drink
83129,Law
83129,Philosophy
83129,Web/Tech
83131,Current Affairs
83132,Current Affairs
83132,Economics
83134,Current Affairs
83134,Political Science
83134,Web/Tech
83135,Web/Tech
83136,Books
83136,The Arts
83137,History
83140,Books
83140,Current Affairs
83140,Economics
83140,History
83143,Books
83144,Philosophy
83145,Web/Tech
83148,Current Affairs
83148,History
83148,Law
83148,Medicine
83148,Science
83151,Economics
83153,Economics
83153,Education
83156,Law
83156,Religion
83157,History
83157,Religion
83158,Political Science
83158,Science
83159,Current Affairs
83159,Web/Tech
83161,Economics
83161,History
83161,Law
83164,Books
83164,History
83165,History
83166,Medicine
83170,Economics
83171,Food and Drink
83171,Travels
83173,Education
83177,Data Source
83177,Web/Tech
83179,Education
83180,Law
83183,Current Affairs
83183,Economics
83183,Medicine
83185,Current Affairs
83185,Economics
83185,Education
83187,Current Affairs
83189,Weblogs
83190,Economics
83190,Law
83191,Current Affairs
83191,Medicine
83195,Political Science
83197,Books
83197,History
83199,Books
83199,History
83200,Science
83202,Current Affairs
83202,History
83202,Political Science
83203,Books
83203,History
83204,Books
83204,History
83208,Science
83211,Political Science
83217,Current Affairs
83217,Medicine
83219,Books
83219,Education
83219,Food and Drink
83219,Travel
83219,Travels
83220,Current Affairs
83223,Education
83223,Law
83224,Film
83224,Television
83224,The Arts
83226,Current Affairs
83226,Philosophy
83226,Political Science
83226,Television
83227,Economics
83227,Law
83231,Current Affairs
83231,Medicine
83231,Science
83234,Current Affairs
83234,Political Science
83235,Current Affairs
83236,Books
83239,Data Source
83240,Books
83240,Law
83244,Music
83245,Economics
83247,Education
83249,Television
83251,Medicine
83253,Data Source
83253,Economics
83253,Education
83254,Economics
83254,History
83255,Current Affairs
83255,Food and Drink
83258,Education
83262,Current Affairs
83262,Economics
83268,Economics
83269,Books
83271,Economics
83273,Data Source
83273,History
83274,Economics
83275,Travel
83279,Data Source
83279,Web/Tech
83280,Current Affairs
83282,Books
83282,Sports
83283,Books
83285,Data Source
83285,Philosophy
83286,Books
83286,Law
83290,Current Affairs
83290,Economics
83291,Philosophy
83297,Books
83297,Current Affairs
83297,Economics
83297,Education
83297,History
83297,Law
83297,Political Science
83297,Religion
83297,The Arts
83299,Web/Tech
83300,Current Affairs
83300,Games
83303,Books
83306,Current Affairs
83307,Books
83307,History
83308,Data Source
83308,History
83308,Television
83309,Current Affairs
83309,History
83309,Philosophy
83309,Political Science
83311,Current Affairs
83311,Law
83313,Economics
83313,Education
83316,Music
83317,Web/Tech
83318,Film
83318,Religion
83319,Books
83319,The Arts
83321,Books
83321,History
83321,Political Science
83322,Political Science
83322,Science
83324,Science
83326,Economics
83326,Law
83327,Books
83327,Data Source
83327,Economics
83327,History
83328,Data Source
83328,Economics
83328,Political Science
83330,Political Science
83331,Economics
83331,Political Science
83331,Web/Tech
83334,Books
83334,Web/Tech
83335,Economics
83338,Current Affairs
83338,Political Science
83341,Sports
83347,Law
83347,Medicine
83347,Political Science
83348,Current Affairs
83349,Science
83358,Current Affairs
83358,Games
83358,Political Science
83361,Economics
83363,Books
83363,Law
83367,History
83367,The Arts
83371,Books
83371,Philosophy
83373,Books
83373,Education
83379,History
83379,Political Science
83380,Education
83380,Web/Tech
83381,Data Source
83381,Economics
83382,Data Source
83382,Economics
83382,History
83384,Media
83385,Data Source
83385,Economics
83386,Science
83387,Economics
83389,Current Affairs
83389,Economics
83389,Education
83389,Political Science
83389,Religion
83391,Data Source
83391,Education
83392,Books
83394,Books
83394,Economics
83394,History
83394,Political Science
83395,Education
83395,Web/Tech
83396,Current Affairs
83396,Games
83396,Political Science
83397,Education
83397,Science
83397,Web/Tech
83398,Web/Tech
83400,Economics
83401,Web/Tech
83404,Education
83406,Travel
83408,Data Source
83408,Political Science
83408,Web/Tech
83411,Economics
83411,Science
83415,Current Affairs
83415,Political Science
83416,Medicine
83419,Economics
83419,History
83419,Law
83420,Web/Tech
83425,Current Affairs
83425,Economics
83427,Data Source
83427,Education
83429,Economics
83431,Current Affairs
83431,Data Source
83431,Law
83432,Law
83432,Web/Tech
83438,Current Affairs
83438,Economics
83440,Economics
83441,Economics
83441,Education
83442,Data Source
83442,Medicine
83444,Political Science
83444,Web/Tech
83445,Economics
83445,Science
83447,Law
83447,Political Science
83447,Web/Tech
83448,Data Source
83448,Science
83449,Law
83453,History
83453,Media
83453,Political Science
83454,Economics
83462,Economics
83462,Law
83465,Law
83466,Medicine
83466,Political Science
83467,Books
83467,Political Science
83468,Current Affairs
83468,Games
83468,Political Science
83469,Data Source
83469,Education
83470,Current Affairs
83470,Law
83475,Current Affairs
83475,Economics
83475,History
83475,Law
83475,Political Science
83477,Sports
83478,Current Affairs
83478,Political Science
83479,Economics
83480,Economics
83484,Books
83484,History
83484,Law
83484,Political Science
83484,Travel
83485,Economics
83485,Science
83487,Books
83489,Media
83490,Economics
83492,Economics
83492,Food and Drink
83492,Political Science
83494,Education
83494,Philosophy
83498,Data Source
83498,Economics
83498,Education
83501,Economics
83501,Law
83502,Law
83503,Books
83505,Current Affairs
83505,History
83506,Books
83506,The Arts
83508,Current Affairs
83508,Political Science
83509,Philosophy
83512,Law
83512,Web/Tech
83513,Economics
83516,Economics
83516,Education
83516,Science
83519,Current Affairs
83519,Political Science
83522,Data Source
83522,Economics
83524,Books
83526,Web/Tech
83527,Books
83527,Education
83527,Philosophy
83533,Current Affairs
83533,Web/Tech
83535,Economics
83535,Law
83537,Books
83537,Economics
83537,Web/Tech
83538,Current Affairs
83541,Philosophy
83542,Law
83542,Travel
83544,Medicine
83545,Data Source
83546,Economics
83546,Philosophy
83549,Economics
83550,Current Affairs
83550,Economics
83550,Education
83551,Current Affairs
83551,Economics
83553,Law
83555,Data Source
83555,Economics
83555,Web/Tech
83557,Education
83557,Philosophy
83557,Web/Tech
83559,Current Affairs
83559,Economics
83560,Data Source
83560,Education
83561,Books
83561,Education
83562,Books
83562,Education
83563,Current Affairs
83563,Medicine
83564,Books
83564,Religion
83569,Books
83571,Books
83571,Education
83571,Web/Tech
83572,Law
83572,Medicine
83574,Books
83574,Economics
83574,Education
83578,Economics
83578,Education
83580,Economics
83580,Web/Tech
83582,Current Affairs
83582,Education
83584,Current Affairs
83590,Current Affairs
83590,Data Source
83591,Current Affairs
83591,Economics
83591,Law
83591,Medicine
83593,Data Source
83593,History
83594,Data Source
83594,Economics
83597,Current Affairs
83599,Data Source
83599,Education
83600,Books
83600,Economics
83600,History
83601,Data Source
83601,Law
83603,Books
83603,Philosophy
83605,Books
83605,Economics
83605,Education
83608,Current Affairs
83608,Economics
83611,Economics
83617,Data Source
83617,Political Science
83618,Current Affairs
83618,Data Source
83618,Law
83618,Political Science
83620,History
83621,Current Affairs
83621,History
83621,Political Science
83623,Political Science
83623,Sports
83624,Current Affairs
83624,History
83625,Current Affairs
83625,Science
83625,Travel
83627,History
83627,Law
83628,Science
83628,Travel
83629,Law
83631,Economics
83631,The Arts
83634,Books
83635,Data Source
83635,Law
83636,Law
83636,Medicine
83638,Data Source
83638,Law
83640,Current Affairs
83640,Law
83644,Current Affairs
83644,History
83644,Political Science
83645,Books
83645,Philosophy
83648,Current Affairs
83648,Economics
83648,Education
83648,Law
83648,Media
83653,Data Source
83653,Food and Drink
83656,Economics
83656,History
83656,Law
83658,Current Affairs
83661,Film
83662,Books
83662,Economics
83662,History
83664,Economics
83664,History
83664,Law
83666,Law
83667,Books
83667,Current Affairs
83667,Economics
83667,Education
83667,Law
83667,Music
83667,Political Science
83667,Web/Tech
83669,Current Affairs
83669,Medicine
83671,Current Affairs
83671,Political Science
83674,Philosophy
83676,Economics
83676,Web/Tech
83678,Political Science
83680,Books
83680,Education
83682,Data Source
83682,Education
83682,Medicine
83682,Philosophy
83682,Political Science
83683,Economics
83683,Travel
83691,Data Source
83691,Education
83692,Economics
83692,Law
83692,Medicine
83693,Food and Drink
83693,History
83700,Current Affairs
83700,Political Science
83701,Web/Tech
83703,Film
83703,Philosophy
83703,Television
83704,Current Affairs
83707,Economics
83709,Current Affairs
83709,Food and Drink
83712,Data Source
83712,Education
83712,Law
83713,Current Affairs
83715,Economics
83715,Education
83716,Education
83716,Games
83716,Media
83716,Television
83716,The Arts
83716,Web/Tech
83717,Books
83718,Books
83718,Film
83718,The Arts
83719,Food and Drink
83719,Travel
83719,Travels
83724,Books
83724,Economics
83724,History
83724,Political Science
83726,Current Affairs
83726,Economics
83726,Food and Drink
83727,Economics
83727,Education
83728,Data Source
83728,Economics
83728,Games
83731,Current Affairs
83731,Economics
83732,Current Affairs
83735,Economics
83735,History
83735,The Arts
83736,Science
83736,Weblogs
83739,Data Source
83739,History
83739,Political Science
83740,Current Affairs
83740,Economics
83740,Political Science
83741,Medicine
83745,Law
83745,Medicine
83746,Economics
83746,Education
83746,Science
83747,Current Affairs
83747,Science
83748,Medicine
83748,Science
83748,The Arts
83749,Philosophy
83749,Religion
83749,Web/Tech
83750,Data Source
83750,Education
83751,Food and Drink
83751,Travel
83751,Travels
83752,Economics
83754,Current Affairs
83760,Sports
83762,Books
83762,Current Affairs
83762,Education
83762,Film
83762,History
83762,Media
83762,Philosophy
83762,Television
83762,Web/Tech
83766,Data Source
83766,Economics
83767,Current Affairs
83767,Data Source
83768,Current Affairs
83768,Data Source
83772,Economics
83773,Data Source
83773,Economics
83773,Education
83776,Economics
83777,Education
83779,Data Source
83779,Law
83779,Web/Tech
83780,Data Source
83780,Economics
83782,Economics
83782,Law
83785,Law
83785,Political Science
83786,Books
83786,History
83787,Books
83787,Education
83790,Medicine
83793,History
83794,Books
83794,History
83797,Books
83797,History
83797,The Arts
83798,Books
83799,Current Affairs
83799,Law
83799,Philosophy
83801,Games
83801,Web/Tech
83802,Books
83802,Economics
83802,History
83804,Current Affairs
83804,Economics
83804,Law
83805,Philosophy
83808,Law
83808,Travel
83810,Economics
83810,History
83810,The Arts
83812,Books
83812,Current Affairs
83812,The Arts
83813,Economics
83813,History
83814,Data Source
83814,Law
83815,Books
83815,Education
83818,Economics
83818,Political Science
83821,Data Source
83821,Medicine
83823,Data Source
83823,Education
83824,Economics
83824,History
83824,Philosophy
83824,Political Science
83824,Religion
83825,Economics
83827,Current Affairs
83829,Current Affairs
83829,Education
83832,Law
83832,Political Science
83832,Religion
83833,Data Source
83833,Economics
83833,Education
83835,Current Affairs
83835,Education
83835,Film
83835,Food and Drink
83835,History
83835,Law
83835,Media
83835,Political Science
83835,Religion
83835,Travel
83837,Current Affairs
83837,Economics
83843,Data Source
83843,Law
83843,Medicine
83846,Economics
83846,Medicine
83848,Data Source
83848,Economics
83849,Current Affairs
83849,Economics
83850,Current Affairs
83850,History
83850,Political Science
83853,Film
83853,The Arts
83854,Education
83854,Philosophy
83859,Data Source
83859,Economics
83861,Data Source
83861,Economics
83862,Food and Drink
83862,Travel
83862,Travels
83863,Economics
83869,Current Affairs
83869,Economics
83870,Current Affairs
83870,History
83870,Religion
83871,Current Affairs
83871,Economics
83871,Medicine
83872,Law
83872,Medicine
83873,Books
83873,Political Science
83877,Law
83880,Current Affairs
83881,Economics
83884,Books
83884,History
83884,Medicine
83888,Current Affairs
83888,Medicine
83889,Law
83891,Economics
83891,Law
83896,Data Source
83896,Economics
83896,History
83897,Data Source
83897,Economics
83898,Political Science
83903,Economics
83905,Current Affairs
83905,Economics
83905,Law
83905,Medicine
83909,Current Affairs
83909,Economics
83909,Law
83910,Economics
83910,Education
83910,Science
83913,Current Affairs
83913,Economics
83915,Economics
83915,Education
83915,Film
83915,Games
83915,Law
83915,Media
83915,Television
83915,Web/Tech
83917,Economics
83917,History
83917,Political Science
83918,Food and Drink
83918,Travel
83918,Travels
83920,Food and Drink
83921,Economics
83921,Web/Tech
83925,Science
83928,Education
83928,Philosophy
83929,Current Affairs
83930,Economics
83930,Science
83931,Economics
83931,History
83931,Law
83931,Web/Tech
83933,Law
83933,Medicine
83936,Current Affairs
83943,Food and Drink
83943,Travels
83945,Economics
83946,Political Science
83952,Economics
83953,Data Source
83953,Science
83958,Current Affairs
83958,Economics
83958,History
83958,Political Science
83962,Science
83963,Science
83964,Law
83964,Medicine
83964,Science
83965,Television
83967,Film
83967,Television
83971,Current Affairs
83971,Law
83971,Medicine
83973,Books
83977,Games
83978,Data Source
83978,Economics
83981,Books
83981,Current Affairs
83981,History
83981,Political Science
83983,Data Source
83983,History
83983,Medicine
83984,Current Affairs
83984,History
83984,Political Science
83985,Economics
83985,Web/Tech
83987,Current Affairs
83987,Medicine
83989,Current Affairs
83991,Economics
83991,Law
83993,Economics
83993,Law
83993,Web/Tech
83994,Current Affairs
83997,Current Affairs
83997,Data Source
83997,Economics
83997,Education
83997,Science
84000,Books
84000,Current Affairs
84000,Economics
84000,Education
84000,History
84000,Law
84000,Political Science
84001,Data Source
84001,Medicine
84001,Science
84003,Current Affairs
84003,Law
84004,Current Affairs
84007,Economics
84008,Web/Tech
84010,Books
84010,Education
84010,Philosophy
84012,Economics
84012,Political Science
84015,Books
84018,Current Affairs
84018,Law
84019,Current Affairs
84019,Medicine
84021,Books
84021,Economics
84021,Philosophy
84021,Political Science
84028,Philosophy
84030,Data Source
84030,Economics
84031,Economics
84032,Economics
84033,Economics
84033,History
84033,Political Science
84035,Economics
84035,Political Science
84037,Economics
84037,Education
84037,Travel
84042,Economics
84042,Food and Drink
84042,Medicine
84043,Economics
84049,Economics
84050,Books
84050,The Arts
84051,Food and Drink
84052,Books
84052,Economics
84052,Education
84058,Medicine
84059,Data Source
84063,Data Source
84063,Medicine
84064,Current Affairs
84064,Economics
84064,Medicine
84068,Law
84070,Economics
84070,Law
84071,Law
84072,Current Affairs
84077,Economics
84077,Law
84079,Data Source
84079,Education
84080,Current Affairs
84080,Economics
84080,Law
84083,Food and Drink
84083,Travels
84085,Current Affairs
84085,Data Source
84087,Current Affairs
84087,Economics
84087,Law
84088,Economics
84088,Medicine
84089,Science
84090,Economics
84091,Economics
84091,Science
84092,Current Affairs
84092,Economics
84092,Law
84093,Religion
84093,Science
84096,Current Affairs
84096,Law
84096,Medicine
84100,Books
84100,Economics
84100,Philosophy
84102,Philosophy
84104,Education
84104,Philosophy
84104,The Arts
84105,Travel
84111,Economics
84111,Education
84113,Current Affairs
84115,Data Source
84116,Data Source
84116,Economics
84116,Science
84117,Economics
84120,Current Affairs
84120,History
84120,Political Science
84121,Books
84121,Education
84121,History
84121,Philosophy
84121,Religion
84121,The Arts
84123,Economics
84123,Philosophy
84124,History
84124,Web/Tech
84125,Education
84127,Education
84127,Science
84127,Web/Tech
84129,Books
84132,Law
84135,Data Source
84135,Political Science
84141,Data Source
84144,Data Source
84144,Philosophy
84144,Political Science
84146,History
84146,Political Science
84147,Music
84148,Current Affairs
84148,Education
84149,Economics
84149,The Arts
84151,Data Source
84151,Economics
84152,Current Affairs
84152,Medicine
84153,Books
84154,Books
84157,Economics
84157,Education
84158,Education
84158,Web/Tech
84161,Current Affairs
84161,History
84161,Law
84161,Political Science
84161,Religion
84161,Travel
84163,Games
84164,Law
84164,Medicine
84165,Economics
84168,Data Source
84173,Economics
84173,Film
84175,Books
84175,Education
84176,Sports
84177,Books
84177,Education
84177,History
84177,Philosophy
84177,Political Science
84177,Religion
84177,The Arts
84177,Travel
84179,Data Source
84179,Economics
84179,History
84179,Political Science
84180,Current Affairs
84180,Medicine
84181,Current Affairs
84182,Current Affairs
84182,Political Science
84183,Current Affairs
84184,Current Affairs
84184,Economics
84184,Education
84187,Web/Tech
84189,Law
84189,Science
84192,Books
84194,Current Affairs
84194,Economics
84195,Education
84196,Data Source
84196,Education
84197,Data Source
84197,Education
84199,Current Affairs
84199,Economics
84201,Current Affairs
84201,Political Science
84203,Economics
84203,Education
84207,Education
84210,Books
84212,Economics
84212,Travel
84213,Economics
84216,Education
84217,Current Affairs
84217,Data Source
84217,Medicine
84218,Current Affairs
84221,History
84221,Law
84223,Economics
84224,Economics
84225,Books
84225,Current Affairs
84225,Education
84225,Food and Drink
84225,Philosophy
84225,Web/Tech
84226,Economics
84226,Law
84226,Political Science
84228,Current Affairs
84228,Economics
84228,Law
84229,Books
84229,Science
84229,The Arts
84230,Economics
84230,Law
84232,Economics
84233,Current Affairs
84233,History
84233,Law
84242,Data Source
84242,Political Science
84243,Economics
84243,Medicine
84243,Science
84245,Books
84245,Philosophy
84250,Data Source
84250,Education
84252,History
84252,Web/Tech
84253,Web/Tech
84254,Current Affairs
84254,Games
84254,Political Science
84255,Food and Drink
84255,Travel
84257,Books
84257,Education
84257,History
84257,Law
84257,Political Science
84261,Current Affairs
84261,Medicine
84261,Science
84262,Books
84262,History
84264,Books
84264,History
84264,Political Science
84266,Education
84267,Data Source
84267,Education
84268,History
84268,Law
84270,Economics
84273,Current Affairs
84273,Economics
84273,Education
84273,Travel
84275,Books
84275,Philosophy
84276,Education
84276,Philosophy
84279,Web/Tech
84281,Data Source
84281,Economics
84281,Political Science
84285,Current Affairs
84285,Food and Drink
84285,History
84285,Travels
84289,Current Affairs
84289,Economics
84289,Education
84289,Media
84289,Political Science
84290,Data Source
84291,Data Source
84291,Economics
84291,Medicine
84293,Law
84294,Food and Drink
84294,Medicine
84294,Science
84302,Law
84306,Current Affairs
84306,Economics
84307,Current Affairs
84307,Economics
84307,Law
84308,Web/Tech
84309,Books
84309,History
84309,Science
84310,Economics
84310,Political Science
84312,Current Affairs
84312,Economics
84315,Economics
84315,Education
84315,Political Science
84316,Medicine
84317,Data Source
84319,Current Affairs
84321,Books
84321,History
84321,Philosophy
84322,Current Affairs
84322,Economics
84322,Education
84328,Philosophy
84329,Books
84329,History
84331,Food and Drink
84337,Current Affairs
84341,Data Source
84341,Political Science
84344,History
84345,Games
84345,Web/Tech
84346,Medicine
84348,Economics
84348,Law
84348,Medicine
84349,Law
84350,Economics
84350,Education
84350,Web/Tech
84352,Economics
84353,Web/Tech
84354,Books
84354,History
84354,Philosophy
84354,Political Science
84358,Web/Tech
84359,Books
84361,Current Affairs
84361,History
84364,Political Science
84366,Books
84366,Film
84366,History
84366,Television
84367,Current Affairs
84367,Economics
84372,Economics
84372,Law
84372,Medicine
84374,Current Affairs
84374,Law
84376,Current Affairs
84376,History
84380,Current Affairs
84380,Economics
84388,Education
84388,Travel
84389,Current Affairs
84389,Economics
84389,Travel
84390,Games
84393,Current Affairs
84393,Science
84394,Current Affairs
84394,Economics
84396,Economics
84397,Current Affairs
84397,Data Source
84401,Current Affairs
84402,Current Affairs
84402,Economics
84402,Political Science
84403,Education
84403,Medicine
84414,Current Affairs
84414,Games
84415,Food and Drink
84417,Books
84417,History
84418,Economics
84419,Economics
84419,Education
84424,Current Affairs
84424,Political Science
84426,Economics
84430,Current Affairs
84434,Law
84434,Political Science
84437,Books
84437,History
84437,Political Science
84438,Current Affairs
84438,Economics
84438,Law
84439,Economics
84439,Web/Tech
84440,Games
84441,Economics
84441,Education
84446,Books
84446,Current Affairs
84446,Education
84446,History
84446,Law
84446,Political Science
84449,Current Affairs
84449,Economics
84449,Philosophy
84449,Political Science
84455,Current Affairs
84455,Economics
84459,Current Affairs
84460,Philosophy
84461,Economics
84464,Web/Tech
84465,Philosophy
84466,Books
84466,Political Science
84469,Web/Tech
84473,Current Affairs
84473,Economics
84475,Economics
84477,Economics
84479,Web/Tech
84480,Current Affairs
84482,The Arts
84482,Web/Tech
84483,Weblogs
84484,Economics
84485,Philosophy
84486,Books
84486,Economics
84486,Law
84486,Media
84486,Political Science
84487,Economics
84488,Economics
84488,Law
84488,Medicine
84490,Economics
84492,Education
84492,Web/Tech
84493,Current Affairs
84493,Economics
84493,Political Science
84494,Economics
84495,Travel
84496,Economics
84502,Current Affairs
84505,Economics
84505,Science
84507,Current Affairs
84507,Economics
84508,Political Science
84509,Law
84509,Medicine
84517,Current Affairs
84517,Data Source
84519,Philosophy
84519,Political Science
84520,Economics
84522,Economics
84522,Medicine
84525,Law
84525,Medicine
84528,Economics
84528,Law
84529,Books
84529,Current Affairs
84529,Political Science
84529,Religion
84534,Current Affairs
84534,Economics
84534,Education
84534,Science
84537,Current Affairs
84537,History
